var_name,value,seq,t0_ns,t_return_ns
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,True,1,1772212575878947500,
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,False,2,1772212575888956800,
MAIN.m_container.m_crane.m_PresenceSensorAtStamp.DI_WPDetected,False,3,1772212575888956800,
MAIN.m_container.m_crane.Motor.AI_Position,False,4,1772212575898947200,
MAIN.m_container.m_crane.Motor.AI_Speed,False,5,1772212575908947500,
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,False,6,1772212575918957800,
MAIN.m_container.m_crane.Motor.DO_TurnCounterclockwise,False,7,1772212575928948300,
MAIN.m_container.m_crane.o_MonostableCylinder.AI_FlowPressure,False,8,1772212575928948300,
MAIN.m_container.m_crane.o_MonostableCylinder.AI_PositionTransmitter,False,9,1772212575937955700,
MAIN.m_container.m_crane.o_MonostableCylinder.AI_PressureSensor,False,10,1772212575947956700,
MAIN.m_container.m_crane.o_MonostableCylinder.DI_BoundaryFlowPressure,False,11,1772212575947956700,
MAIN.m_container.m_crane.o_MonostableCylinder.DI_BoundaryPressure,False,12,1772212575957956400,
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,False,13,1772212575957956400,
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,True,14,1772212575967957500,
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,False,15,1772212575977948100,
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,False,16,1772212575977948100,
MAIN.m_container.m_crane.o_VacuumGripper.DO_VacuumOn,False,17,1772212575987956600,
MAIN.m_container.m_crane.o_VacuumGripper.VacuumHit,False,18,1772212575987956600,
MAIN.m_container.m_LSC.m_inductiveSensorMid.DI_WPMetallic,False,19,1772212575997947500,
MAIN.m_container.m_LSC.m_inductiveSensorStart.DI_WPMetallic,False,20,1772212575997947500,
MAIN.m_container.m_LSC.m_opticalSensorEnd.DI_WPLight,False,21,1772212576007957400,
MAIN.m_container.m_LSC.m_opticalSensorMid.DI_WPLight,False,22,1772212576017947500,
MAIN.m_container.m_LSC.m_opticalSensorStart.DI_WPLight,False,23,1772212576017947500,
MAIN.m_container.m_LSC.m_presenceSensorStart.DI_WPDetected,False,24,1772212576027948100,
MAIN.m_container.m_LSC.m_rampEnd.m_presenceSensorRampFull.DI_WPDetected,False,25,1772212576027948100,
MAIN.m_container.m_LSC.m_rampMiddle.m_presenceSensorRampFull.DI_WPDetected,False,26,1772212576037947500,
MAIN.m_container.m_LSC.m_rampPusherMid.AI_FlowPressure,False,27,1772212576037947500,
MAIN.m_container.m_LSC.m_rampPusherMid.AI_PositionTransmitter,False,28,1772212576047956700,
MAIN.m_container.m_LSC.m_rampPusherMid.AI_PressureSensor,False,29,1772212576057947300,
MAIN.m_container.m_LSC.m_rampPusherMid.DI_BoundaryFlowPressure,False,30,1772212576057947300,
MAIN.m_container.m_LSC.m_rampPusherMid.DI_BoundaryPressure,False,31,1772212576067947600,
MAIN.m_container.m_LSC.m_rampPusherMid.DI_Extended,False,32,1772212576067947600,
MAIN.m_container.m_LSC.m_rampPusherMid.DI_Retracted,True,33,1772212576077947900,
MAIN.m_container.m_LSC.m_rampPusherMid.DO_Extend,False,34,1772212576077947900,
MAIN.m_container.m_LSC.m_rampPusherStart.AI_FlowPressure,False,35,1772212576087956400,
MAIN.m_container.m_LSC.m_rampPusherStart.AI_PositionTransmitter,False,36,1772212576097956500,
MAIN.m_container.m_LSC.m_rampPusherStart.AI_PressureSensor,False,37,1772212576097956500,
MAIN.m_container.m_LSC.m_rampPusherStart.DI_BoundaryFlowPressure,False,38,1772212576107947100,
MAIN.m_container.m_LSC.m_rampPusherStart.DI_BoundaryPressure,False,39,1772212576107947100,
MAIN.m_container.m_LSC.m_rampPusherStart.DI_Extended,False,40,1772212576117947300,
MAIN.m_container.m_LSC.m_rampPusherStart.DI_Retracted,True,41,1772212576117947300,
MAIN.m_container.m_LSC.m_rampPusherStart.DO_Extend,False,42,1772212576127948100,
MAIN.m_container.m_LSC.m_rampStart.m_presenceSensorRampFull.DI_WPDetected,False,43,1772212576137958600,
MAIN.m_container.m_LSC.m_Switch.DI_BoundaryPressure,False,44,1772212576137958600,
MAIN.m_container.m_LSC.m_Switch.DI_Extended,False,45,1772212576147947300,
MAIN.m_container.m_LSC.m_Switch.DI_Retracted,False,46,1772212576147947300,
MAIN.m_container.m_LSC.m_Switch.DO_Extend,False,47,1772212576157947700,
MAIN.m_container.m_LSC.Motor.AI_Position,False,48,1772212576167947600,
MAIN.m_container.m_LSC.Motor.AI_Speed,False,49,1772212576167947600,
MAIN.m_container.m_LSC.Motor.DO_TurnClockwise,False,50,1772212576177948200,
MAIN.m_container.m_LSC.Motor.DO_TurnCounterclockwise,False,51,1772212576177948200,
MAIN.m_container.m_PAC.m_PresencesensorEnd.DI_WPDetected,False,52,1772212576187947400,
MAIN.m_container.m_PAC.m_PresencesensorStart.DI_WPDetected,False,53,1772212576187947400,
MAIN.m_container.m_PAC.m_Switch.DI_BoundaryPressure,False,54,1772212576197956400,
MAIN.m_container.m_PAC.m_Switch.DI_Extended,True,55,1772212576207956300,
MAIN.m_container.m_PAC.m_Switch.DI_Retracted,False,56,1772212576207956300,
MAIN.m_container.m_PAC.m_Switch.DO_Extend,False,57,1772212576217956600,
MAIN.m_container.m_PAC.Motor.AI_Position,False,58,1772212576217956600,
MAIN.m_container.m_PAC.Motor.AI_Speed,False,59,1772212576227948000,
MAIN.m_container.m_PAC.Motor.DO_TurnClockwise,False,60,1772212576227948000,
MAIN.m_container.m_PAC.Motor.DO_TurnCounterclockwise,False,61,1772212576237956200,
MAIN.m_container.m_PicAlpha.m_PresenceSensorPosition1.DI_WPDetected,False,62,1772212576247947500,
MAIN.m_container.m_PicAlpha.m_PresenceSensorPosition2.DI_WPDetected,False,63,1772212576247947500,
MAIN.m_container.m_PicAlpha.m_PresenceSensorPosition3.DI_WPDetected,False,64,1772212576257947700,
